# (x y) dist_from_charge phi Ex Ey Ez
0.000000000000000000e+00 0.000000000000000000e+00 3.535533905932737753e+01 3.565449415148173262e+00 3.742892400601736174e-06 3.742892400601729398e-06 -5.455704111735958453e-09
1.000000000000000000e+00 0.000000000000000000e+00 3.465544690232691494e+01 3.545454911039991774e+00 7.493070132685779008e-06 8.086533894352302093e-06 -1.089594700258767249e-08
2.000000000000000000e+00 0.000000000000000000e+00 3.397057550292606010e+01 3.525494723534022601e+00 1.125716348196411870e-05 8.134751561608395356e-06 -1.630434827753315431e-08
3.000000000000000000e+00 0.000000000000000000e+00 3.330165161069342616e+01 3.505606993675183691e+00 1.504136590660676558e-05 8.198956556984742861e-06 -2.166601227758042014e-08
4.000000000000000000e+00 0.000000000000000000e+00 3.264965543462901820e+01 3.485834302362894821e+00 1.884989803247807407e-05 8.275457442375084189e-06 -2.696331695613781473e-08
5.000000000000000000e+00 0.000000000000000000e+00 3.201562118716424266e+01 3.466223945786254035e+00 2.268608143722519794e-05 8.359939590984354811e-06 -3.218162123499787434e-08
6.000000000000000000e+00 0.000000000000000000e+00 3.140063693621516450e+01 3.446828177301317631e+00 2.654993706525741987e-05 8.446592194263953258e-06 -3.730184166960903648e-08
7.000000000000000000e+00 0.000000000000000000e+00 3.080584360149872580e+01 3.427704399304964067e+00 3.044010023954986231e-05 8.528925131803985450e-06 -4.230939144837802960e-08
8.000000000000000000e+00 0.000000000000000000e+00 3.023243291566194912e+01 3.408915285727075251e+00 3.435060496772163749e-05 8.598969334441633765e-06 -4.718367031893882287e-08
9.000000000000000000e+00 0.000000000000000000e+00 2.968164415931165934e+01 3.390528812968089500e+00 3.827364258990011142e-05 8.648113922493897863e-06 -5.191011073110539257e-08
1.000000000000000000e+01 0.000000000000000000e+00 2.915475947422650194e+01 3.372618174742180841e+00 4.219563123458468831e-05 8.666445934734581401e-06 -5.646674878555729216e-08
1.100000000000000000e+01 0.000000000000000000e+00 2.865309756378880479e+01 3.355261554726213902e+00 4.610084789859991266e-05 8.643654862182538869e-06 -6.083920077146513176e-08
1.200000000000000000e+01 0.000000000000000000e+00 2.817800560721074277e+01 3.338541730623568071e+00 4.996693582089408651e-05 8.568583628587010681e-06 -6.500452137224302981e-08
1.300000000000000000e+01 0.000000000000000000e+00 2.773084924772409465e+01 3.322545484752822187e+00 5.376946827797407513e-05 8.430244733201822268e-06 -6.894888320975824970e-08
1.400000000000000000e+01 0.000000000000000000e+00 2.731300056749532601e+01 3.307362800101880218e+00 5.747709105039056706e-05 8.217634844373684336e-06 -7.264896310663700348e-08
1.500000000000000000e+01 0.000000000000000000e+00 2.692582403567251959e+01 3.293085827427337353e+00 6.105708585255014808e-05 7.920869732722573891e-06 -7.609204960246855175e-08
1.600000000000000000e+01 0.000000000000000000e+00 2.657066051117284644e+01 3.279807618746620967e+00 6.447035482779172591e-05 7.531252886503505802e-06 -7.925522894316105928e-08
1.700000000000000000e+01 0.000000000000000000e+00 2.624880949681337583e+01 3.267620635506829352e+00 6.767801331557761545e-05 7.042452809554708469e-06 -8.212760245230330339e-08
1.800000000000000000e+01 0.000000000000000000e+00 2.596150997149434048e+01 3.256615055456153485e+00 7.063636842731387748e-05 6.450709371863842453e-06 -8.468757156760114806e-08
1.900000000000000000e+01 0.000000000000000000e+00 2.570992026436488231e+01 3.246876919925843374e+00 7.330445934796076587e-05 5.755860906152127630e-06 -8.692681007813160988e-08
2.000000000000000000e+01 0.000000000000000000e+00 2.549509756796392423e+01 3.238486181444841350e+00 7.563904768450341212e-05 4.961456648962142319e-06 -8.882597253350929534e-08
2.100000000000000000e+01 0.000000000000000000e+00 2.531797780234432693e+01 3.231514728460334940e+00 7.760284254121094607e-05 4.075353179279947425e-06 -9.038003720341530097e-08
2.200000000000000000e+01 0.000000000000000000e+00 2.517935662402834396e+01 3.226024477218612851e+00 7.915933540056428828e-05 3.109460040864438983e-06 -9.157278501208457582e-08
2.300000000000000000e+01 0.000000000000000000e+00 2.507987240796890660e+01 3.222065628350220479e+00 8.028125534174792124e-05 2.079659404650882441e-06 -9.240310875907196877e-08
