step x y
0 25.6 26.2
1 25.2 26.2
2 24.8 26.4
3 24.8 26.8
4 24.6 27.2
5 24.2 27.2
6 23.8 27.4
7 23.8 27.8
8 23.6 28.2
9 23.2 28.2
10 22.8 28.4
11 22.8 28.8
12 22.6 29.2
13 22.2 29.2
14 21.8 29.4
15 21.8 29.8
16 21.6 30.2
17 21.2 30.2
18 20.8 30.4
19 20.8 30.8
20 20.6 31.2
21 20.2 31.2
22 19.8 31.4
23 19.8 31.8
24 19.6 32.2
25 19.2 32.2
26 18.8 32.4
27 18.8 32.8
28 18.6 33.2
29 18.2 33.2
30 17.8 33.4
31 17.8 33.8
32 17.6 34.2
33 17.2 34.2
34 16.8 34.4
35 16.8 34.8
36 16.6 35.2
37 16.2 35.2
38 15.8 35.4
39 15.8 35.8
40 15.6 36.2
41 15.2 36.2
42 14.8 36.4
43 14.8 36.8
44 14.6 37.2
45 14.2 37.2
46 13.8 37.4
47 13.8 37.8
48 13.6 38.2
49 13.2 38.2
50 12.8 38.4
51 12.8 38.8
52 12.6 39.2
53 12.2 39.2
54 11.8 39.4
55 11.8 39.8
56 11.6 40.2
57 11.2 40.2
58 10.8 40.4
59 10.8 40.8
60 10.6 41.2
61 10.2 41.2
62 9.8 41.4
63 9.8 41.8
64 9.6 42.2
65 9.2 42.2
66 8.8 42.4
67 8.8 42.8
68 8.6 43.2
69 8.2 43.2
70 7.8 43.4
71 7.8 43.8
72 7.6 44.2
73 7.2 44.2
74 6.8 44.4
75 6.8 44.8
76 6.6 45.2
77 6.2 45.2
78 5.8 45.4
79 5.8 45.8
80 5.6 46.2
81 5.2 46.2
82 4.8 46.4
83 4.8 46.8
84 4.6 47.2
85 4.2 47.2
86 3.8 47.4
87 3.8 47.8
88 3.6 48.2
89 3.2 48.2
90 2.8 48.4
91 0.8 0.8
92 0.6 1.2
93 48.2 3.2
94 47.8 3.4
95 47.8 3.8
96 47.6 4.2
97 47.2 4.2
98 46.8 4.4
99 46.8 4.8
100 46.6 5.2
101 46.2 5.2
102 45.8 5.4
103 45.8 5.8
104 45.6 6.2
105 45.2 6.2
106 44.8 6.4
107 44.8 6.8
108 44.6 7.2
109 44.2 7.2
110 43.8 7.4
111 43.8 7.8
112 43.6 8.2
113 43.2 8.2
114 42.8 8.4
115 42.8 8.8
116 42.6 9.2
117 42.2 9.2
118 41.8 9.4
119 41.8 9.8
120 41.6 10.2
121 41.2 10.2
122 40.8 10.4
123 40.8 10.8
124 40.6 11.2
125 40.2 11.2
126 39.8 11.4
127 39.8 11.8
128 39.6 12.2
129 39.2 12.2
130 38.8 12.4
131 38.8 12.8
132 38.6 13.2
133 38.2 13.2
134 37.8 13.4
135 37.8 13.8
136 37.6 14.2
137 37.2 14.2
138 36.8 14.4
139 36.8 14.8
140 36.6 15.2
141 36.2 15.2
142 35.8 15.4
143 35.8 15.8
144 35.6 16.2
145 35.2 16.2
146 34.8 16.4
147 34.8 16.8
148 34.6 17.2
149 34.2 17.2
150 33.8 17.4
151 33.8 17.8
152 33.6 18.2
153 33.2 18.2
154 32.8 18.4
155 32.8 18.8
156 32.6 19.2
157 32.2 19.2
158 31.8 19.4
159 31.8 19.8
160 31.6 20.2
161 31.2 20.2
162 30.8 20.4
163 30.8 20.8
164 30.6 21.2
165 30.2 21.2
166 29.8 21.4
167 29.8 21.8
168 29.6 22.2
169 29.2 22.2
170 28.8 22.4
171 28.8 22.8
172 28.6 23.2
173 28.2 23.2
174 27.8 23.4
175 27.8 23.8
176 27.6 24.2
177 27.2 24.2
178 26.8 24.4
179 26.8 24.8
180 26.6 25.2
181 26.2 25.2
182 25.8 25.4
183 25.8 25.8
184 25.6 26.2
185 25.2 26.2
186 24.8 26.4
187 24.8 26.8
188 24.6 27.2
189 24.2 27.2
190 23.8 27.4
191 23.8 27.8
192 23.6 28.2
193 23.2 28.2
194 22.8 28.4
195 22.8 28.8
196 22.6 29.2
197 22.2 29.2
198 21.8 29.4
199 21.8 29.8
200 21.6 30.2
201 21.2 30.2
202 20.8 30.4
203 20.8 30.8
204 20.6 31.2
205 20.2 31.2
206 19.8 31.4
207 19.8 31.8
208 19.6 32.2
209 19.2 32.2
210 18.8 32.4
211 18.8 32.8
212 18.6 33.2
213 18.2 33.2
214 17.8 33.4
215 17.8 33.8
216 17.6 34.2
217 17.2 34.2
218 16.8 34.4
219 16.8 34.8
220 16.6 35.2
221 16.2 35.2
222 15.8 35.4
223 15.8 35.8
224 15.6 36.2
225 15.2 36.2
226 14.8 36.4
227 14.8 36.8
228 14.6 37.2
229 14.2 37.2
230 13.8 37.4
231 13.8 37.8
232 13.6 38.2
233 13.2 38.2
234 12.8 38.4
235 12.8 38.8
236 12.6 39.2
237 12.2 39.2
238 11.8 39.4
239 11.8 39.8
240 11.6 40.2
241 11.2 40.2
242 10.8 40.4
243 10.8 40.8
244 10.6 41.2
245 10.2 41.2
246 9.8 41.4
247 9.8 41.8
248 9.6 42.2
249 9.2 42.2
250 8.8 42.4
251 8.8 42.8
252 8.6 43.2
253 8.2 43.2
254 7.8 43.4
255 7.8 43.8
256 7.6 44.2
257 7.2 44.2
258 6.8 44.4
259 6.8 44.8
260 6.6 45.2
261 6.2 45.2
262 5.8 45.4
263 5.8 45.8
264 5.6 46.2
265 5.2 46.2
266 4.8 46.4
267 4.8 46.8
268 4.6 47.2
269 4.2 47.2
270 3.8 47.4
271 3.8 47.8
272 3.6 48.2
273 3.2 48.2
274 2.8 48.4
x speed: -0.24999368860885113y speed: 0.24999297746402938
0.3535439620833453
