p1 p3 <I>/N
0.0 0.0 0.0
0.0 0.05 0.0
0.0 0.1 0.0
0.0 0.15000000000000002 0.0
0.0 0.2 0.0
0.0 0.25 0.0
0.0 0.30000000000000004 0.0
0.0 0.35000000000000003 0.0
0.0 0.4 0.0
0.0 0.45 0.0
0.0 0.5 0.0
0.0 0.55 0.0
0.0 0.6000000000000001 0.0
0.0 0.65 0.0
0.0 0.7000000000000001 0.0
0.0 0.75 0.0
0.0 0.8 0.0
0.0 0.8500000000000001 0.0
0.0 0.9 0.0
0.0 0.9500000000000001 0.0
0.0 1.0 0.0
0.05 0.0 0.0
0.05 0.05 0.0
0.05 0.1 0.0
0.05 0.15000000000000002 0.0
0.05 0.2 0.0
0.05 0.25 0.0
0.05 0.30000000000000004 0.0
0.05 0.35000000000000003 0.0
0.05 0.4 0.0
0.05 0.45 0.0
0.05 0.5 0.0
0.05 0.55 0.0
0.05 0.6000000000000001 0.0
0.05 0.65 0.0
0.05 0.7000000000000001 0.004057142857142857
0.05 0.75 0.0
0.05 0.8 0.0
0.05 0.8500000000000001 0.0
0.05 0.9 0.0
0.05 0.9500000000000001 0.0
0.05 1.0 0.0
0.1 0.0 0.0
0.1 0.05 0.0
0.1 0.1 0.0
0.1 0.15000000000000002 0.0
0.1 0.2 0.0
0.1 0.25 0.0
0.1 0.30000000000000004 0.0
0.1 0.35000000000000003 0.0
0.1 0.4 0.0
0.1 0.45 0.0
0.1 0.5 0.0078044444444444454
0.1 0.55 0.044307784431137726
0.1 0.6000000000000001 0.051166067864271456
0.1 0.65 0.061986027944111774
0.1 0.7000000000000001 0.06862475049900199
0.1 0.75 0.07528742514970059
0.1 0.8 0.07929780439121756
0.1 0.8500000000000001 0.08402395209580839
0.1 0.9 0.08770059880239521
0.1 0.9500000000000001 0.08953253493013971
0.1 1.0 0.09301477045908182
0.15000000000000002 0.0 0.0
0.15000000000000002 0.05 0.0
0.15000000000000002 0.1 0.0
0.15000000000000002 0.15000000000000002 0.0
0.15000000000000002 0.2 0.0
0.15000000000000002 0.25 0.0
0.15000000000000002 0.30000000000000004 0.0
0.15000000000000002 0.35000000000000003 0.0
0.15000000000000002 0.4 0.010380676328502416
0.15000000000000002 0.45 0.04397924151696607
0.15000000000000002 0.5 0.07035049900199601
0.15000000000000002 0.55 0.08812335329341317
0.15000000000000002 0.6000000000000001 0.1000814371257485
0.15000000000000002 0.65 0.10819201596806388
0.15000000000000002 0.7000000000000001 0.11667425149700598
0.15000000000000002 0.75 0.1245121756487026
0.15000000000000002 0.8 0.12848502994011976
0.15000000000000002 0.8500000000000001 0.13504471057884232
0.15000000000000002 0.9 0.1385109780439122
0.15000000000000002 0.9500000000000001 0.14393093812375252
0.15000000000000002 1.0 0.14498243512974052
